2022-08-10 18:07:50 INFO  LoginPageTest:40 - Proper login 
  2022-08-10 18:19:59 INFO  LoginPageTest:35 - loginPageTitleFacebook – log in or sign up
  2022-08-10 22:49:21 INFO  LoginPageTest:41 - Proper login com.fb.qa.pages.HomePage@11dee337
  2022-08-11 08:37:49 INFO  LoginPageTest:35 - loginPageTitleFacebook – log in or sign up
  2022-08-11 08:38:04 INFO  LoginPageTest:41 - Proper login com.fb.qa.pages.HomePage@7eb6b6b6
  2022-08-11 08:42:39 INFO  LoginPageTest:35 - loginPageTitleFacebook – log in or sign up
  2022-08-11 08:42:59 INFO  LoginPageTest:41 - Proper login com.fb.qa.pages.HomePage@7eb6b6b6
  2022-08-12 11:15:29 INFO  LoginPageTest:35 - loginPageTitleFacebook – log in or sign up
  2022-08-12 11:15:46 INFO  LoginPageTest:41 - Proper login com.fb.qa.pages.HomePage@1b1c538d
  2022-08-12 12:29:36 INFO  LoginPageTest:35 - loginPageTitleFacebook – log in or sign up
  2022-08-12 12:29:52 INFO  LoginPageTest:41 - Proper login com.fb.qa.pages.HomePage@1b1c538d
  2022-08-12 16:41:29 INFO  LoginPageTest:35 - loginPageTitleFacebook – log in or sign up
  2022-08-12 16:41:51 INFO  LoginPageTest:41 - Proper login com.fb.qa.pages.HomePage@1b1c538d
  
